schema_version,run_id,layer_index,layer_type,neurons,total_spikes,opportunities,spike_rate_pct
1,20260801_215947_norse_seed0,0,NorseLIF,10800,1.04644e+07,552960000,1.89242
1,20260801_215947_norse_seed0,1,NorseLIF,3872,4.9329e+06,198246400,2.48827
1,20260801_215947_norse_seed0,2,NorseLIF,10,51535,512000,10.0654
1,20260801_221447_spikingjelly_seed0,0,SpikingJellyLIF,10800,1.39456e+07,552960000,2.522
1,20260801_221447_spikingjelly_seed0,1,SpikingJellyLIF,3872,4.45866e+06,198246400,2.24905
1,20260801_221447_spikingjelly_seed0,2,SpikingJellyLIF,10,51955,512000,10.1475
1,20260801_224044_snntorch_seed0,0,SnnTorchLIF,10800,1.3738e+07,552960000,2.48445
1,20260801_224044_snntorch_seed0,1,SnnTorchLIF,3872,4.87857e+06,198246400,2.46086
1,20260801_224044_snntorch_seed0,2,SnnTorchLIF,10,62045,512000,12.1182
1,20260801_235851_snntorch_seed1,0,SnnTorchLIF,10800,1.60882e+07,552960000,2.90946
1,20260801_235851_snntorch_seed1,1,SnnTorchLIF,3872,4.21893e+06,198246400,2.12813
1,20260801_235851_snntorch_seed1,2,SnnTorchLIF,10,41483,512000,8.10215
1,20260802_003427_norse_seed1,0,NorseLIF,10800,1.2811e+07,552960000,2.31681
1,20260802_003427_norse_seed1,1,NorseLIF,3872,4.9742e+06,198246400,2.5091
1,20260802_003427_norse_seed1,2,NorseLIF,10,46827,512000,9.1459
1,20260802_004834_spikingjelly_seed1,0,SpikingJellyLIF,10800,1.66389e+07,552960000,3.00906
1,20260802_004834_spikingjelly_seed1,1,SpikingJellyLIF,3872,4.64074e+06,198246400,2.3409
1,20260802_004834_spikingjelly_seed1,2,SpikingJellyLIF,10,48129,512000,9.4002
